code,name,gap_down_date,gap_down_prev_low,gap_down_high,gap_down_pct,gap_up_date,gap_up_prev_high,gap_up_low,gap_up_pct,island_days,island_max_high,volume_ratio,gap_up_volume,gap_up_close
000725,京东方Ａ,2026-07-13,7.59,7.41,2.37,2026-08-18,6.08,6.09,0.16,26,7.41,2.17,3242584483,6.47
601116,三江购物,2026-08-14,10.8,10.79,0.09,2026-08-18,10.7,10.76,0.56,2,10.79,2.1,24174828,11.77
301419,阿莱德,2026-07-13,38.17,37.92,0.65,2026-08-17,37.62,39.54,5.1,25,37.92,4.15,19617961,41.55
688628,优利德,2026-07-16,77.06,76.59,0.61,2026-08-17,70.55,70.84,0.41,22,76.59,2.17,6239594,76.48
300751,迈为股份,2026-07-13,267.0,264.99,0.75,2026-08-17,178.58,179.73,0.64,25,264.99,2.14,7574716,187.06
300548,长芯博创,2026-07-16,211.18,209.7,0.7,2026-08-17,194.68,199.99,2.73,22,209.7,2.06,21237792,219.0
301419,阿莱德,2026-07-13,38.17,37.92,0.65,2026-08-14,32.82,33.5,2.07,24,37.92,3.86,12204290,37.62
300394,天孚通信,2026-07-16,258.88,257.01,0.72,2026-08-13,248.5,250.1,0.64,20,257.01,5.82,64679462,257.16
688635,长进光子,2026-07-13,390.0,388.0,0.51,2026-08-13,300.02,308.0,2.66,23,388.0,2.04,5424264,311.9
603328,依顿电子,2026-07-13,10.89,10.82,0.64,2026-08-10,10.85,11.21,3.32,20,10.85,5.1,81263997,11.42
600283,钱江水利,2026-07-13,8.22,7.93,3.53,2026-08-10,7.94,7.95,0.13,20,8.05,2.14,6151278,8.06
002194,武汉凡谷,2026-06-29,10.49,10.29,1.91,2026-08-07,10.09,10.46,3.67,29,10.29,3.14,61547952,11.1
600397,江钨装备,2026-07-07,23.09,22.61,2.08,2026-08-07,16.89,17.21,1.89,23,22.61,2.84,215532289,18.41
301251,威尔高,2026-07-13,51.95,51.38,1.1,2026-08-07,39.83,40.0,0.43,19,51.38,2.81,23934246,46.58
002446,盛路通信,2026-07-14,9.47,9.35,1.27,2026-08-07,8.95,8.98,0.34,18,9.35,2.36,81802969,9.2
002428,云南锗业,2026-07-13,100.0,98.2,1.8,2026-08-07,90.98,95.5,4.97,19,98.2,2.12,119307696,100.08
920136,永励精密,2026-07-13,25.5,24.48,4.0,2026-08-06,21.4,21.43,0.14,18,24.48,2.79,6834349,22.54
002194,武汉凡谷,2026-06-29,10.49,10.29,1.91,2026-08-06,9.24,9.29,0.54,28,10.29,2.78,40527645,10.09
002842,翔鹭钨业,2026-07-07,40.64,40.6,0.1,2026-08-06,34.56,35.27,2.05,22,40.6,2.36,73543627,36.98
001267,汇绿生态,2026-07-02,50.38,50.22,0.32,2026-08-06,35.28,35.35,0.2,25,50.22,2.31,74291620,38.81
600367,红星发展,2026-07-13,41.11,41.08,0.07,2026-08-06,29.92,29.96,0.13,18,41.08,2.23,58100374,31.49
301026,浩通科技,2026-07-07,19.81,19.72,0.45,2026-08-05,18.1,18.68,3.2,21,19.72,6.11,27091865,21.49
920505,九菱科技,2026-07-08,30.1,30.0,0.33,2026-08-05,24.69,26.25,6.32,20,30.0,5.99,3432795,28.81
