date,code,name,call_vol,put_vol,pcr_vol
2024-03-20,588000,科创50ETF,329442.0,246624.0,74.86
2024-03-20,588080,科创板50ETF,399757.0,319013.0,79.8
2024-03-21,510050,上证50ETF,688037.0,624778.0,90.81
2024-03-21,510300,沪深300ETF,595052.0,505403.0,84.93
2024-03-21,510500,中证500ETF,430665.0,438987.0,101.93
2024-03-21,588000,科创50ETF,341221.0,269739.0,79.05
2024-03-21,588080,科创板50ETF,208811.0,148270.0,71.01
2024-03-22,510050,上证50ETF,1090964.0,1222581.0,112.06
2024-03-22,510300,沪深300ETF,903967.0,996961.0,110.29
2024-03-22,510500,中证500ETF,620775.0,842268.0,135.68
2024-03-22,588000,科创50ETF,350405.0,337151.0,96.22
2024-03-22,588080,科创板50ETF,214011.0,198640.0,92.82
2024-03-25,510050,上证50ETF,669746.0,742428.0,110.85
2024-03-25,510300,沪深300ETF,605848.0,726416.0,119.9
2024-03-25,510500,中证500ETF,456864.0,634597.0,138.9
2024-03-25,588000,科创50ETF,302103.0,276883.0,91.65
2024-03-25,588080,科创板50ETF,160922.0,178813.0,111.12
2024-03-26,510050,上证50ETF,697565.0,695538.0,99.71
2024-03-26,510300,沪深300ETF,641601.0,711306.0,110.86
2024-03-26,510500,中证500ETF,530149.0,720176.0,135.84
2024-03-26,588000,科创50ETF,382399.0,417922.0,109.29
2024-03-26,588080,科创板50ETF,257527.0,222495.0,86.4
2024-03-27,510050,上证50ETF,748979.0,700287.0,93.5
2024-03-27,510300,沪深300ETF,666618.0,642453.0,96.37
2024-03-27,510500,中证500ETF,546838.0,741870.0,135.67
2024-03-27,588000,科创50ETF,331916.0,371705.0,111.99
2024-03-27,588080,科创板50ETF,132531.0,195209.0,147.29
2024-03-28,510050,上证50ETF,736212.0,769955.0,104.58
2024-03-28,510300,沪深300ETF,712890.0,683194.0,95.83
2024-03-28,510500,中证500ETF,606306.0,679223.0,112.03
2024-03-28,588000,科创50ETF,328297.0,272888.0,83.12
2024-03-28,588080,科创板50ETF,157689.0,155212.0,98.43
2024-03-29,510050,上证50ETF,441429.0,478211.0,108.33
2024-03-29,510300,沪深300ETF,402915.0,409752.0,101.7
2024-03-29,510500,中证500ETF,437565.0,505771.0,115.59
2024-03-29,588000,科创50ETF,277735.0,235382.0,84.75
2024-03-29,588080,科创板50ETF,114685.0,142739.0,124.46
2024-04-01,510050,上证50ETF,705451.0,608014.0,86.19
2024-04-01,510300,沪深300ETF,699062.0,584909.0,83.67
2024-04-01,510500,中证500ETF,526764.0,515779.0,97.91
2024-04-01,588000,科创50ETF,222706.0,198856.0,89.29
2024-04-01,588080,科创板50ETF,131448.0,108496.0,82.54
2024-04-02,510050,上证50ETF,474849.0,456521.0,96.14
2024-04-02,510300,沪深300ETF,394324.0,402970.0,102.19
2024-04-02,510500,中证500ETF,366786.0,442931.0,120.76
2024-04-02,588000,科创50ETF,200604.0,173632.0,86.55
2024-04-02,588080,科创板50ETF,104465.0,112351.0,107.55
2024-04-03,510050,上证50ETF,404731.0,421914.0,104.25
2024-04-03,510300,沪深300ETF,352414.0,366663.0,104.04
2024-04-03,510500,中证500ETF,319194.0,414084.0,129.73
2024-04-03,588000,科创50ETF,230512.0,236782.0,102.72
2024-04-03,588080,科创板50ETF,118120.0,138646.0,117.38
2024-04-08,510050,上证50ETF,611022.0,584707.0,95.69
2024-04-08,510300,沪深300ETF,544386.0,513315.0,94.29
2024-04-08,510500,中证500ETF,453273.0,553949.0,122.21
2024-04-08,588000,科创50ETF,276451.0,224850.0,81.33
2024-04-08,588080,科创板50ETF,127460.0,127996.0,100.42
2024-04-09,510050,上证50ETF,540746.0,483730.0,89.46
2024-04-09,510300,沪深300ETF,439005.0,396136.0,90.23
2024-04-09,510500,中证500ETF,359779.0,472788.0,131.41
2024-04-09,588000,科创50ETF,256222.0,243995.0,95.23
2024-04-09,588080,科创板50ETF,158227.0,158394.0,100.11
2024-04-10,510050,上证50ETF,652913.0,630132.0,96.51
2024-04-10,510300,沪深300ETF,605709.0,590782.0,97.54
2024-04-10,510500,中证500ETF,492732.0,622612.0,126.36
2024-04-10,588000,科创50ETF,288804.0,255090.0,88.33
2024-04-10,588080,科创板50ETF,149167.0,188804.0,126.57
2024-04-11,510050,上证50ETF,642358.0,550895.0,85.76
2024-04-11,510300,沪深300ETF,525097.0,520127.0,99.05
2024-04-11,510500,中证500ETF,549976.0,690842.0,125.61
2024-04-11,588000,科创50ETF,313595.0,271874.0,86.7
2024-04-11,588080,科创板50ETF,227565.0,228956.0,100.61
2024-04-12,510050,上证50ETF,630656.0,560062.0,88.81
2024-04-12,510300,沪深300ETF,535711.0,553804.0,103.38
2024-04-12,510500,中证500ETF,434631.0,507105.0,116.67
2024-04-12,588000,科创50ETF,234729.0,213372.0,90.9
2024-04-12,588080,科创板50ETF,194299.0,241444.0,124.26
2024-04-15,510050,上证50ETF,1139270.0,916457.0,80.44
